,phrase,contaminant,date,city,county,main city,main county,title,page_url
15, Californians deserve…and should expect… for us to lead on this vital human rights issue and not ignore a tragedy that impacts more than a million people.,lead,"June 08, 2018",[],[],,,BACKERS OF SAFE AND AFFORDABLE DRINKING WATER FUND APPLAUD COMMITMENT BY GOVERNOR AND LEGISLATURE TO MOVE FORWARD TO ADDRESS STATE CRISIS - Community Water Center,https://www.communitywatercenter.org/sadwfcommit
16,"”Laurel Firestone of Community Water Center issued the following statement on today’s actions on behalf of the 140 environmental justice, agricultural, public health, business, labor, and water districts supporting the Fund: ""While we are disappointed that California’s drinking water crisis has been prolonged for so long, we are pleased that the Governor, legislative leadership, and a bipartisan majority of the Legislature remains strongly committed to the Safe & Affordable Drinking Water Fund and we appreciate the commitment to take action later in the Legislative Session.",lead,"June 08, 2018",[],[],,,BACKERS OF SAFE AND AFFORDABLE DRINKING WATER FUND APPLAUD COMMITMENT BY GOVERNOR AND LEGISLATURE TO MOVE FORWARD TO ADDRESS STATE CRISIS - Community Water Center,https://www.communitywatercenter.org/sadwfcommit
17, “We’re confident that our historic alliance will lead to a successful outcome.,lead,"June 08, 2018",[],[],,,BACKERS OF SAFE AND AFFORDABLE DRINKING WATER FUND APPLAUD COMMITMENT BY GOVERNOR AND LEGISLATURE TO MOVE FORWARD TO ADDRESS STATE CRISIS - Community Water Center,https://www.communitywatercenter.org/sadwfcommit
18,"Don't forget -- this Tuesday is Election Day in California, so if you can vote in California, please get out and vote!¡Adelante!Susana and Laurel Safe and Affordable Drinking Water Fund Update San Joaquin Valley community leaders traveled to Sacramento last week to meet with California legislators about the Governor's Safe and Affordable Drinking Water Fund.",lead,"May 31, 2018","['tulare', 'orosi', 'bakersfield', 'porterville']",['tulare'],bakersfield,tulare,May 2018 eNews - Community Water Center,https://www.communitywatercenter.org/may_2018_enews
19," SJV residents will continue to lead the way to make sure this solution passes next month, alongside ally organizations, but we need your help!Join the movement by taking 5 minutes to email your state legislator and tell them: In the sixth largest economy in the world, we can and must ensure that all Californians have access to safe and affordable drinking water.",lead,"May 22, 2018",[],[],,,Safe and Affordable Drinking Water Fund Update - Community Water Center,https://www.communitywatercenter.org/sadwfupdate
20,org/leadership-awards/recipients/deanda-firestone Like us to spread the wordTweet.,lead,"February 21, 2018",[],[],,,Susana De Anda and Laurel Firestone receive a 2018 James Irvine Foundation Leadership Award - Community Water Center,https://www.communitywatercenter.org/2018irvineleadershipaward
21,"org, Phoebe Seaton + (310) 980-6494, pseaton@leadershipcounsel.",lead,"January 10, 2018",['davis'],[],davis,,Governor Brown Prioritizes Safe and Affordable Drinking Water for All in Budget - Community Water Center,https://www.communitywatercenter.org/budget2018
22," Over 300 mostly rural and economically disadvantaged California communities have water that has dangerous levels of arsenic, uranium, or nitrates, which have drastic health implications.",arsenic,"October 24, 2017",[],[],,,Small Communities Can't Solve Toxic Water Problems Without Help - Community Water Center,https://www.communitywatercenter.org/toxic_water_problems
23," Over 300 mostly rural and economically disadvantaged California communities have water that has dangerous levels of arsenic, uranium, or nitrates, which have drastic health implications.",nitrate,"October 24, 2017",[],[],,,Small Communities Can't Solve Toxic Water Problems Without Help - Community Water Center,https://www.communitywatercenter.org/toxic_water_problems
24," Over 300 mostly rural and economically disadvantaged California communities have water that has dangerous levels of arsenic, uranium, or nitrates, which have drastic health implications.",nitrates,"October 24, 2017",[],[],,,Small Communities Can't Solve Toxic Water Problems Without Help - Community Water Center,https://www.communitywatercenter.org/toxic_water_problems
25," Over 300 mostly rural and economically disadvantaged California communities have water that has dangerous levels of arsenic, uranium, or nitrates, which have drastic health implications.",uranium,"October 24, 2017",[],[],,,Small Communities Can't Solve Toxic Water Problems Without Help - Community Water Center,https://www.communitywatercenter.org/toxic_water_problems
26," The water in Alpaugh is contaminated by arsenic, and Meraz refuses to drink or cook with the water, resulting in her having to pay a large amount of money on bottled water, while still paying a monthly water bill.",arsenic,"October 01, 2017","['alpaugh', 'bakersfield', 'arvin']",['kern'],arvin,kern,San Joaquin Valley Op-Eds in Support of SB 623 - Community Water Center,https://www.communitywatercenter.org/op_ed_sb_623
27," Arsenic contaminates the water of Arvin, and drinking water with arsenic has unforgiving consequences, including: respiratory illness, reduced mental functioning, and cancer.",arsenic,"October 01, 2017","['alpaugh', 'bakersfield', 'arvin']",['kern'],arvin,kern,San Joaquin Valley Op-Eds in Support of SB 623 - Community Water Center,https://www.communitywatercenter.org/op_ed_sb_623
28, No one should have to turn on the tap to water that can lead to such horrible outcomes.,lead,"October 01, 2017","['alpaugh', 'bakersfield', 'arvin']",['kern'],arvin,kern,San Joaquin Valley Op-Eds in Support of SB 623 - Community Water Center,https://www.communitywatercenter.org/op_ed_sb_623
29,Central Valley leaders demanded the creation of a Safe and Affordable Drinking Water Fund earlier this month in Visalia.,lead,"September 22, 2017",[],[],,,Fight for Safe Drinking Water Continues Into 2018 With SB 623 - Community Water Center,https://www.communitywatercenter.org/sb623_fight_continues
30," Waiting until the next legislative session would leave hundreds of communities with unsafe tap water, contaminated with nitrates, arsenic, uranium, and other contaminants.",arsenic,"September 09, 2017",[],[],,,"FARMERS, ENVIRONMENTAL LEADERS URGE LEGISLATURE TO SUPPORT SAFE DRINKING WATER BILL  - Community Water Center",https://www.communitywatercenter.org/kvpr_sb623
31," Waiting until the next legislative session would leave hundreds of communities with unsafe tap water, contaminated with nitrates, arsenic, uranium, and other contaminants.",nitrate,"September 09, 2017",[],[],,,"FARMERS, ENVIRONMENTAL LEADERS URGE LEGISLATURE TO SUPPORT SAFE DRINKING WATER BILL  - Community Water Center",https://www.communitywatercenter.org/kvpr_sb623
32," Waiting until the next legislative session would leave hundreds of communities with unsafe tap water, contaminated with nitrates, arsenic, uranium, and other contaminants.",nitrates,"September 09, 2017",[],[],,,"FARMERS, ENVIRONMENTAL LEADERS URGE LEGISLATURE TO SUPPORT SAFE DRINKING WATER BILL  - Community Water Center",https://www.communitywatercenter.org/kvpr_sb623
33,"By Ezra David RomeroFarmers and environmental justice leaders, including Community Water Center, have led a coalition that is urging California Assembly leaders to bring SB623, the Safe and Affordable Drinking Water Fund to a vote, instead of tabling it until the next legislative session.",lead,"September 09, 2017",[],[],,,"FARMERS, ENVIRONMENTAL LEADERS URGE LEGISLATURE TO SUPPORT SAFE DRINKING WATER BILL  - Community Water Center",https://www.communitywatercenter.org/kvpr_sb623
34,org/post/farmers-environmental-leaders-urge-legislature-support-safe-drinking-water-bill  ContaminationSB 623Like us to spread the wordTweet.,lead,"September 09, 2017",[],[],,,"FARMERS, ENVIRONMENTAL LEADERS URGE LEGISLATURE TO SUPPORT SAFE DRINKING WATER BILL  - Community Water Center",https://www.communitywatercenter.org/kvpr_sb623
35," Waiting until the next legislative session would leave hundreds of communities with unsafe tap water, contaminated with nitrates, arsenic, uranium, and other contaminants.",uranium,"September 09, 2017",[],[],,,"FARMERS, ENVIRONMENTAL LEADERS URGE LEGISLATURE TO SUPPORT SAFE DRINKING WATER BILL  - Community Water Center",https://www.communitywatercenter.org/kvpr_sb623
36,"The bipartisan coalition of more than 80 organizations that has supported SB 623 this year remains committed to the fight for safe drinking water and thanks Assembly leadership for recognizing the importance of this historic bill, and for the opportunity to continue working toward the critical goal of ensuring safe water for all.",lead,"September 02, 2017",[],[],,,"SB 623, Safe Drinking Water Conversation Continues in Assembly - Community Water Center",https://www.communitywatercenter.org/sb623_assembly
37," Some area's water containing over three times the maximum contaminant level (MCL) for arsenic and other known carcinogens, the recent threat of safe drinking water in schools has only recently come to light.",carcinogens,"August 11, 2017",[],[],,,T is for Toxic: Danger Lurking in California School Drinking Fountains - Community Water Center,https://www.communitywatercenter.org/toxic_schools
38," Some area's water containing over three times the maximum contaminant level (MCL) for arsenic and other known carcinogens, the recent threat of safe drinking water in schools has only recently come to light.",arsenic,"August 11, 2017",[],[],,,T is for Toxic: Danger Lurking in California School Drinking Fountains - Community Water Center,https://www.communitywatercenter.org/toxic_schools
39,"org, 559-284-6327 FOR IMMEDIATE RELEASE (Sacramento, CA, July 18, 2017) — Today the State Water Resources Control Board voted to create a new legal limit, or maximum contaminant level (MCL), on 1,2,3-Trichloropropane (TCP), a man-made, carcinogenic drinking water contaminant found across the state.",carcinogenic,"July 24, 2017","['fresno', 'tulare', 'bakersfield', 'davis']",['tulare'],davis,tulare,"PRESS RELEASE: State Votes to Protect Californians From Carcinogen, TCP  - Community Water Center",https://www.communitywatercenter.org/press_release_tcp
40," “Setting the standard at this level shows that California will lead in protecting the lives of hundreds of thousands of people who currently drink water contaminated by TCP, and who have had to live with the anxiety caused by this contamination ever since Dow and Shell neglected to remove the chemical from their products, to protect their profits.",lead,"July 24, 2017","['fresno', 'tulare', 'bakersfield', 'davis']",['tulare'],davis,tulare,"PRESS RELEASE: State Votes to Protect Californians From Carcinogen, TCP  - Community Water Center",https://www.communitywatercenter.org/press_release_tcp
41,"” Hundreds of California communities are out of compliance with state and federal drinking water standards, and some communities have had arsenic flowing from their taps for more than a decade.",arsenic,"June 30, 2017",[],[],,,California Budget Takes Steps to Address State’s Drinking Water Crisis - Community Water Center,https://www.communitywatercenter.org/2017_18cabudget
42, Joaquin Arambula for their leadership in securing this critical funding.,lead,"June 30, 2017",[],[],,,California Budget Takes Steps to Address State’s Drinking Water Crisis - Community Water Center,https://www.communitywatercenter.org/2017_18cabudget
43,""" We thank Assemblymember Salas for his leadership in taking up the important cause of increased access to favorable financing options for some of the communities most in need of assistance in California.",lead,"June 23, 2017",['arvin'],[],arvin,,Increased Access to Funding for Drinking Water Projects in Severely Disadvantaged Communities is Adopted at the State Water Board - Community Water Center,https://www.communitywatercenter.org/fundingsdacs
44," CWC is happy that due to Salas’ leadership and the SWRCB, larger SDACs will now have much-needed access to better funding options.",lead,"June 23, 2017",['arvin'],[],arvin,,Increased Access to Funding for Drinking Water Projects in Severely Disadvantaged Communities is Adopted at the State Water Board - Community Water Center,https://www.communitywatercenter.org/fundingsdacs
45,"3 million for the initial construction costs of an arsenic treatment plant, Lanare was left without funding for operation and maintenance.",arsenic,"June 13, 2017",['fresno'],[],fresno,,"They Built It, But Couldn’t Afford To Run It—Clean Drinking Water Fight Focuses On Gaps In Funding - Community Water Center",https://www.communitywatercenter.org/they_built_it
46, Some communities have had arsenic flowing from their taps for over a decade.,arsenic,"May 22, 2017",['davis'],[],davis,,Governor's Revised Budget Does Not Adequately Address Drinking Water Crisis Affecting One Million Californians - Community Water Center,https://www.communitywatercenter.org/revisedbudget
47," “But having arsenic, nitrate or pesticides flowing from your tap is equally an emergency.",arsenic,"May 22, 2017",['davis'],[],davis,,Governor's Revised Budget Does Not Adequately Address Drinking Water Crisis Affecting One Million Californians - Community Water Center,https://www.communitywatercenter.org/revisedbudget
48,"Arsenic, nitrate, and disinfectant byproducts are the most commonly occurring contaminants.",nitrate,"May 22, 2017",['davis'],[],davis,,Governor's Revised Budget Does Not Adequately Address Drinking Water Crisis Affecting One Million Californians - Community Water Center,https://www.communitywatercenter.org/revisedbudget
49," “But having arsenic, nitrate or pesticides flowing from your tap is equally an emergency.",nitrate,"May 22, 2017",['davis'],[],davis,,Governor's Revised Budget Does Not Adequately Address Drinking Water Crisis Affecting One Million Californians - Community Water Center,https://www.communitywatercenter.org/revisedbudget
50,"”“California has been a leader on drinking water, but we have to commit sustained funding if we want to solve the crisis this year,” said Laurel Firestone, Co-Executive Director of Community Water Center.",lead,"May 22, 2017",['davis'],[],davis,,Governor's Revised Budget Does Not Adequately Address Drinking Water Crisis Affecting One Million Californians - Community Water Center,https://www.communitywatercenter.org/revisedbudget
51, We need state leaders to create a sustainable funding source this year to guarantee every Californian safe water.,lead,"May 22, 2017",['davis'],[],davis,,Governor's Revised Budget Does Not Adequately Address Drinking Water Crisis Affecting One Million Californians - Community Water Center,https://www.communitywatercenter.org/revisedbudget
52," Drinking water with contaminants like arsenic and nitrate can cause rashes, miscarriages, and cancer.",arsenic,"April 20, 2017","['alpaugh', 'arvin']",[],alpaugh,,Resident Testimony Ensures that Senate Bill 623 Passes Unanimously in its First Senate Committee,https://www.communitywatercenter.org/sb623_senate
53," Drinking water with contaminants like arsenic and nitrate can cause rashes, miscarriages, and cancer.",nitrate,"April 20, 2017","['alpaugh', 'arvin']",[],alpaugh,,Resident Testimony Ensures that Senate Bill 623 Passes Unanimously in its First Senate Committee,https://www.communitywatercenter.org/sb623_senate
54,"On April 19th, dozens of community leaders from the San Joaquin Valley traveled up to Sacramento to speak out in support of Senate Bill 623, which would create a fund to ensure all Californians have safe and affordable drinking water.",lead,"April 20, 2017","['alpaugh', 'arvin']",[],alpaugh,,Resident Testimony Ensures that Senate Bill 623 Passes Unanimously in its First Senate Committee,https://www.communitywatercenter.org/sb623_senate
55,"California has always been a leader, and we have high standards in almost every area of public life.",lead,"April 20, 2017","['alpaugh', 'arvin']",[],alpaugh,,Resident Testimony Ensures that Senate Bill 623 Passes Unanimously in its First Senate Committee,https://www.communitywatercenter.org/sb623_senate
56,"”BackgroundThe plan released today was written by the five state agencies that will lead its implementation – the California Department of Water Resources, State Water Resources Control Board, California Public Utilities Commission, California Department of Food and Agriculture, and California Energy Commission.",lead,"April 07, 2017",[],[],,,California Takes Strong Steps Toward Making Water Conservation a Way of Life,https://www.communitywatercenter.org/california_way_of_life
57,"Earlier this year, 36 leading water and climate scientists delivered a letter to Gov.",lead,"April 07, 2017",[],[],,,California Takes Strong Steps Toward Making Water Conservation a Way of Life,https://www.communitywatercenter.org/california_way_of_life
58,"About WaterNow AllianceWaterNow Alliance is a network of water utility leaders across the West dedicated to high impact, widespread adoption of sustainable water solutions in communities.",lead,"April 07, 2017",[],[],,,California Takes Strong Steps Toward Making Water Conservation a Way of Life,https://www.communitywatercenter.org/california_way_of_life
59,""" Excellent story on the Glenwood Mobile Home Park outside Stockton, which recently drilled a new well to address nitrate contamination.",nitrate,"February 25, 2017","['fresno', 'stockton']",[],stockton,,Recent Media Coverage of California Drinking Water Crisis - Community Water Center,https://www.communitywatercenter.org/recent_media_coverage
60,"For example, 600 residents living in the Fresno County community of Lanare have had tap water contaminated with unsafe arsenic levels for more than a decade, putting anyone who drinks the water at increased risk for skin rashes, nausea and even cancer from long-term exposure.",arsenic,"February 21, 2017",['fresno'],[],fresno,,Our Op-Ed in the Sunday Sacramento Bee! - Community Water Center,https://www.communitywatercenter.org/sacbeeoped
61,"Lanare has an arsenic treatment plant, but shockingly, it sits unused.",arsenic,"February 21, 2017",['fresno'],[],fresno,,Our Op-Ed in the Sunday Sacramento Bee! - Community Water Center,https://www.communitywatercenter.org/sacbeeoped
62, Phoebe Seaton is co-director at Leadership Counsel for Justice and Accountability; she can be contacted at pseaton@leadershipcounsel.,lead,"February 21, 2017",['fresno'],[],fresno,,Our Op-Ed in the Sunday Sacramento Bee! - Community Water Center,https://www.communitywatercenter.org/sacbeeoped
63," In California, most of the drinking water contamination comes from natural contaminants like arsenic, or nitrates from nitrogen-based fertilizers that were used years ago.",arsenic,"February 13, 2017",[],[],,,Drinking Water Crisis Brewing in California - Community Water Center,https://www.communitywatercenter.org/drinking_water_crisis_brewing_in_california
64," In California, most of the drinking water contamination comes from natural contaminants like arsenic, or nitrates from nitrogen-based fertilizers that were used years ago.",nitrate,"February 13, 2017",[],[],,,Drinking Water Crisis Brewing in California - Community Water Center,https://www.communitywatercenter.org/drinking_water_crisis_brewing_in_california
65," In California, most of the drinking water contamination comes from natural contaminants like arsenic, or nitrates from nitrogen-based fertilizers that were used years ago.",nitrates,"February 13, 2017",[],[],,,Drinking Water Crisis Brewing in California - Community Water Center,https://www.communitywatercenter.org/drinking_water_crisis_brewing_in_california
66,"”The contamination problems are a little different than those in Flint, Michigan, where lead from aging pipes polluted the drinking water to unsafe levels.",lead,"February 13, 2017",[],[],,,Drinking Water Crisis Brewing in California - Community Water Center,https://www.communitywatercenter.org/drinking_water_crisis_brewing_in_california
67,"California does have some lead contamination, though.",lead,"February 13, 2017",[],[],,,Drinking Water Crisis Brewing in California - Community Water Center,https://www.communitywatercenter.org/drinking_water_crisis_brewing_in_california
68, A Reuters investigation published in December found that children in Oakland’s Fruitvale neighborhood tested with higher levels of lead exposure than children in Flint.,lead,"February 13, 2017",[],[],,,Drinking Water Crisis Brewing in California - Community Water Center,https://www.communitywatercenter.org/drinking_water_crisis_brewing_in_california
69," Glenwood's well was contaminated with nitrates, possibly from fertilizer applied by farmers in the area, though that is uncertain.",nitrate,"February 12, 2017",['stockton'],[],stockton,,The Challenge of Our Age - Community Water Center,https://www.communitywatercenter.org/the_challenge_of_our_age
70,"There is a happy ending to the story: Glenwood's owner just forked over $300,000 to drill a new, much deeper well that has eliminated the nitrates.",nitrate,"February 12, 2017",['stockton'],[],stockton,,The Challenge of Our Age - Community Water Center,https://www.communitywatercenter.org/the_challenge_of_our_age
71,"A second well was drilled, but by 2009, it, too, was tapping nitrate-laden water.",nitrate,"February 12, 2017",['stockton'],[],stockton,,The Challenge of Our Age - Community Water Center,https://www.communitywatercenter.org/the_challenge_of_our_age
72," County officials said the health risk pertained mostly to infants under the age of 6 months, who could quickly become seriously ill or even die from drinking nitrates.",nitrate,"February 12, 2017",['stockton'],[],stockton,,The Challenge of Our Age - Community Water Center,https://www.communitywatercenter.org/the_challenge_of_our_age
73," Glenwood's well was contaminated with nitrates, possibly from fertilizer applied by farmers in the area, though that is uncertain.",nitrates,"February 12, 2017",['stockton'],[],stockton,,The Challenge of Our Age - Community Water Center,https://www.communitywatercenter.org/the_challenge_of_our_age
74,"There is a happy ending to the story: Glenwood's owner just forked over $300,000 to drill a new, much deeper well that has eliminated the nitrates.",nitrates,"February 12, 2017",['stockton'],[],stockton,,The Challenge of Our Age - Community Water Center,https://www.communitywatercenter.org/the_challenge_of_our_age
75," County officials said the health risk pertained mostly to infants under the age of 6 months, who could quickly become seriously ill or even die from drinking nitrates.",nitrates,"February 12, 2017",['stockton'],[],stockton,,The Challenge of Our Age - Community Water Center,https://www.communitywatercenter.org/the_challenge_of_our_age
76," It was one of the schools tested for other metals, including lead, arsenic, copper and zinc, and came up within acceptable levels on all and below detection level on the arsenic.",arsenic,"February 11, 2017",['davis'],[],davis,,Most Sacramento area schools do not test drinking water for lead - Community Water Center,https://www.communitywatercenter.org/most_sacramento_area_schools_do_not_test_for_lead
77," It was one of the schools tested for other metals, including lead, arsenic, copper and zinc, and came up within acceptable levels on all and below detection level on the arsenic.",lead,"February 11, 2017",['davis'],[],davis,,Most Sacramento area schools do not test drinking water for lead - Community Water Center,https://www.communitywatercenter.org/most_sacramento_area_schools_do_not_test_for_lead
78,Parents may not be aware of this fact: Schools aren’t required to test for lead in their drinking water.,lead,"February 11, 2017",['davis'],[],davis,,Most Sacramento area schools do not test drinking water for lead - Community Water Center,https://www.communitywatercenter.org/most_sacramento_area_schools_do_not_test_for_lead
79," When they do test, it is generally in response to foul color or odors, which are not indicators of lead.",lead,"February 11, 2017",['davis'],[],davis,,Most Sacramento area schools do not test drinking water for lead - Community Water Center,https://www.communitywatercenter.org/most_sacramento_area_schools_do_not_test_for_lead
80,"Water agencies are required to test their water at the source, but lead in schools – particularly in aging facilities – often comes from corrosion in lead water taps, interior pipes or water lines.",lead,"February 11, 2017",['davis'],[],davis,,Most Sacramento area schools do not test drinking water for lead - Community Water Center,https://www.communitywatercenter.org/most_sacramento_area_schools_do_not_test_for_lead
81,"The health repercussions of elevated lead levels became big news in 2014 after residents in Flint, Mich.",lead,"February 11, 2017",['davis'],[],davis,,Most Sacramento area schools do not test drinking water for lead - Community Water Center,https://www.communitywatercenter.org/most_sacramento_area_schools_do_not_test_for_lead
82," Last month, students at Sacramento State returned to school after winter break to find 85 drinking fountains, bottle-filling stations and sinks shut down after elevated lead levels were discovered by students and teachers as part of a school project.",lead,"February 11, 2017",['davis'],[],davis,,Most Sacramento area schools do not test drinking water for lead - Community Water Center,https://www.communitywatercenter.org/most_sacramento_area_schools_do_not_test_for_lead
83,"Sacramento County health officials consider the lead levels at CSUS a low health risk, said Olivia Kasirye, the county’s public health officer.",lead,"February 11, 2017",['davis'],[],davis,,Most Sacramento area schools do not test drinking water for lead - Community Water Center,https://www.communitywatercenter.org/most_sacramento_area_schools_do_not_test_for_lead
84, The problem of elevated lead levels in water becomes more serious when school populations are younger and school facilities are older than at Sacramento State.,lead,"February 11, 2017",['davis'],[],davis,,Most Sacramento area schools do not test drinking water for lead - Community Water Center,https://www.communitywatercenter.org/most_sacramento_area_schools_do_not_test_for_lead
85,"Lead exposure in young children can lead to a reduction in IQ, attention deficiencies and general cognitive impairment, said Iva Hertz-Picciotto, a professor of epidemiology at UC Davis who has published extensive research on environmental exposures.",lead,"February 11, 2017",['davis'],[],davis,,Most Sacramento area schools do not test drinking water for lead - Community Water Center,https://www.communitywatercenter.org/most_sacramento_area_schools_do_not_test_for_lead
86," Often, there are no physical signs of lead exposure.",lead,"February 11, 2017",['davis'],[],davis,,Most Sacramento area schools do not test drinking water for lead - Community Water Center,https://www.communitywatercenter.org/most_sacramento_area_schools_do_not_test_for_lead
87," As long as there are sources (of lead) in the plumbing, or other specific sources of lead, they should be testing.",lead,"February 11, 2017",['davis'],[],davis,,Most Sacramento area schools do not test drinking water for lead - Community Water Center,https://www.communitywatercenter.org/most_sacramento_area_schools_do_not_test_for_lead
88,"”Testing is sporadic in the Sacramento region, so it is difficult to know whether lead is a problem at local schools.",lead,"February 11, 2017",['davis'],[],davis,,Most Sacramento area schools do not test drinking water for lead - Community Water Center,https://www.communitywatercenter.org/most_sacramento_area_schools_do_not_test_for_lead
89," The testing was prompted by elevated levels of copper, iron and lead in water coming from a classroom tap in 2015 at Cordova Lane Center, which serves preschoolers and special education students.",lead,"February 11, 2017",['davis'],[],davis,,Most Sacramento area schools do not test drinking water for lead - Community Water Center,https://www.communitywatercenter.org/most_sacramento_area_schools_do_not_test_for_lead
90," Additional tests at the school revealed high lead levels from spigots in a storage room, staff room and a multipurpose room-kitchen.",lead,"February 11, 2017",['davis'],[],davis,,Most Sacramento area schools do not test drinking water for lead - Community Water Center,https://www.communitywatercenter.org/most_sacramento_area_schools_do_not_test_for_lead
91, Follow-up tests showed no signs of lead.,lead,"February 11, 2017",['davis'],[],davis,,Most Sacramento area schools do not test drinking water for lead - Community Water Center,https://www.communitywatercenter.org/most_sacramento_area_schools_do_not_test_for_lead
92,The district replaced plumbing fixtures at Theodore Judah Elementary and found no subsequent signs of lead.,lead,"February 11, 2017",['davis'],[],davis,,Most Sacramento area schools do not test drinking water for lead - Community Water Center,https://www.communitywatercenter.org/most_sacramento_area_schools_do_not_test_for_lead
93, The district has tested four of its 60 school sites this year and found one sink in a school office with elevated levels of lead.,lead,"February 11, 2017",['davis'],[],davis,,Most Sacramento area schools do not test drinking water for lead - Community Water Center,https://www.communitywatercenter.org/most_sacramento_area_schools_do_not_test_for_lead
94," The lead was traced to a valve in the wall, which was replaced.",lead,"February 11, 2017",['davis'],[],davis,,Most Sacramento area schools do not test drinking water for lead - Community Water Center,https://www.communitywatercenter.org/most_sacramento_area_schools_do_not_test_for_lead
